location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Artvin","ArtvİN",8,42.3,40.2,10.385,11.53232,6.6408,42.3,42.3,.01,6.754626
"Artvin","ArtvİN",6,42.55,41.85,1.0802,1.199538,4.4647,42.55,42.55,.01,4.553455
"Artvin","ArtvİN",7,42.4,41.3,10.079,11.19251,6.6084,42.4,42.4,0,6.722011
"Artvin","ArtvİN",8,43.15,40.55,9.9508,11.05015,6.5947,43.15,43.15,0,6.708079
"Artvin","ArtvİN",8,43.4,41.3,9.8241,10.90945,6.5809,43.4,43.4,0,6.694151
"Artvin","ArtvİN",6.5,40.45,41.05,1.4873,1.651614,4.7393,40.45,40.45,0,4.83168
"Artvin","ArtvİN",7,41.65,41.35,8.2508,9.162333,6.3949,41.65,41.65,0,6.506179
"Artvin","ArtvİN",6,42.25,41.25,5.3593,5.951385,5.9487,42.25,42.25,0,6.055276
"Artvin","ArtvİN",7.5,41.65,41.35,13.087,14.53283,6.8936,41.65,41.65,0,7.010008
"Artvin","ArtvİN",7,41.4,40.4,3.9469,4.382946,5.6443,41.4,41.4,0,5.747513
"Artvin","ArtvİN",8,40.65,41.7,8.7513,9.718127,6.4573,40.65,40.65,0,6.569248
"Artvin","ArtvİN",8,42.4,41.3,21.977,24.40498,7.4808,42.4,42.4,0,7.602985
"Artvin","ArtvİN",7.5,43,41.4,7.7428,8.59821,6.3279,43,43,0,6.438537
"Artvin","ArtvİN",7,41.95,41.7,5.7113,6.342274,6.0133,41.95,41.95,0,6.120518
"Artvin","ArtvİN",7.5,43.65,40.7,5.1356,5.702971,5.9057,43.65,43.65,0,6.011787
"Artvin","ArtvİN",6,43.2,40.25,.68113,.75638,4.0876,43.2,43.2,0,4.171298
"Artvin","ArtvİN",8,43.4,41,9.8627,10.95231,6.5851,43.4,43.4,0,6.698411
"Artvin","ArtvİN",8,41.45,40.25,10.026,11.13365,6.6028,41.45,41.45,0,6.71627
"Artvin","ArtvİN",8,41.5,40.1,9.2785,10.30357,6.5196,41.5,41.5,0,6.632257
"Artvin","ArtvİN",7,41.65,41.4,7.7004,8.551126,6.3222,41.65,41.65,0,6.432712
"Artvin","ArtvİN",7,42.3,40.25,3.9091,4.34097,5.6349,42.3,42.3,.01,5.737991
"Artvin","ArtvİN",6,40.6,41.85,.62789,.6972581,4.0234,40.6,40.6,.01,4.106183
"Artvin","ArtvİN",6,43.4,40.95,.83606,.9284263,4.2524,43.4,43.4,0,4.338367
"Artvin","ArtvİN",6,41.65,41.45,2.0794,2.309128,5.0388,41.65,41.65,0,5.134807
"Artvin","ArtvİN",6.5,42.3,41.4,5.5604,6.174703,5.9861,42.3,42.3,.01,6.093003
"Artvin","ArtvİN",8,42.1,41.8,12.954,14.38513,6.8823,42.1,42.1,.01,6.998609
"Artvin","ArtvİN",7,41.65,41.45,7.1734,7.965904,6.248,41.65,41.65,0,6.357794
"Artvin","ArtvİN",6.5,43.65,40.6,1.3864,1.539567,4.6781,43.65,43.65,0,4.769639
"Artvin","ArtvİN",7.5,41.75,40.7,10.965,12.17639,6.6997,41.75,41.75,0,6.814134
"Artvin","ArtvİN",6.5,40.6,41.8,1.4048,1.56,4.6895,40.6,40.6,.01,4.781242
"Artvin","ArtvİN",7.5,40.7,42,4.9013,5.442786,5.8588,40.7,40.7,0,5.964378
"Artvin","ArtvİN",8,40.5,41.35,8.7984,9.770431,6.463,40.5,40.5,0,6.575015
"Artvin","ArtvİN",7.5,43.4,40.9,6.0545,6.72339,6.0729,43.4,43.4,0,6.180742
"Artvin","ArtvİN",6.5,43.4,40.9,1.7635,1.958328,4.89,43.4,43.4,0,4.984275
