location_name_en,location_name_tr,magnitude,latitude,longitude,peak_ground_velocity_reverse,peak_ground_velocity_normal,intensity_reverse,z,z3,z5,internsity_normal
"Amasya","Amasya",7.5,34.6,40.5,6.4662,7.180573,6.1404,34.6,34.6,.01,6.249068
"Amasya","Amasya",7,34.95,41.05,4.4129,4.900429,5.7542,34.95,34.95,0,5.858648
"Amasya","Amasya",7.5,34.95,40.9,8.0955,8.989876,6.3748,34.95,34.95,0,6.485908
"Amasya","Amasya",6.5,37.15,41.3,1.5289,1.69781,4.7635,37.15,37.15,0,4.856185
"Amasya","Amasya",8,34.95,40.8,12.854,14.27409,6.8738,34.95,34.95,0,6.989968
"Amasya","Amasya",7.5,34.95,40.8,8.3544,9.277378,6.4081,34.95,34.95,0,6.519512
"Amasya","Amasya",7,34.95,40.75,5.0023,5.554945,5.8793,34.95,34.95,0,5.985058
"Amasya","Amasya",7.5,34.95,40.65,8.5074,9.447281,6.4273,34.95,34.95,0,6.538932
"Amasya","Amasya",6.5,34.95,40.65,2.7271,3.028385,5.2897,34.95,34.95,0,5.388763
"Amasya","Amasya",8,35.45,40.85,20.115,22.33727,7.3786,35.45,35.45,0,7.499705
"Amasya","Amasya",8,35.7,40.15,15.675,17.40674,7.0948,35.7,35.7,0,7.213204
"Amasya","Amasya",7.5,35,41.5,5.9413,6.597683,6.0535,35,35,0,6.161224
"Amasya","Amasya",6.5,36.8,39.85,1.6687,1.853055,4.8408,36.8,36.8,.01,4.934439
"Amasya","Amasya",6.5,34.95,40.5,2.6569,2.950429,5.2652,34.95,34.95,0,5.364001
"Amasya","Amasya",8,34.95,40.4,12.475,13.85322,6.8408,34.95,34.95,0,6.956656
"Amasya","Amasya",7.5,35.6,40.7,22.953,25.4888,7.5313,35.6,35.6,.01,7.65398
"Amasya","Amasya",7,35.6,40.65,16.139,17.92201,7.1276,35.6,35.6,.01,7.246376
"Amasya","Amasya",7,34.95,40.25,4.3901,4.87511,5.7491,34.95,34.95,0,5.85346
"Amasya","Amasya",6.5,34.95,40.2,2.2528,2.501685,5.1121,34.95,34.95,0,5.209012
"Amasya","Amasya",6,34.95,40.15,1.0431,1.15834,4.4353,34.95,34.95,0,4.523706
"Amasya","Amasya",7,34.95,40.05,3.8619,4.288556,5.6231,34.95,34.95,0,5.725986
"Amasya","Amasya",6,34.95,40.05,.96077,1.066914,4.3667,34.95,34.95,0,4.45423
"Amasya","Amasya",7.5,34.95,39.95,6.3431,7.043874,6.1206,34.95,34.95,0,6.229058
"Amasya","Amasya",7,34.95,39.7,3.0645,3.40306,5.4001,34.95,34.95,0,5.500398
"Amasya","Amasya",7.5,35.1,41.05,8.3786,9.304252,6.4111,35.1,35.1,.01,6.522604
"Amasya","Amasya",7.5,34.95,39.65,5.3442,5.934617,5.9459,34.95,34.95,0,6.052392
"Amasya","Amasya",7,34.95,39.65,2.9698,3.297898,5.3702,34.95,34.95,0,5.470215
"Amasya","Amasya",7,35.25,40.85,6.7478,7.493284,6.1845,35.25,35.25,0,6.293585
"Amasya","Amasya",7,36.15,41.95,2.739,3.0416,5.2938,36.15,36.15,0,5.392904
"Amasya","Amasya",7.5,37.5,40.65,5.1525,5.721739,5.909,37.5,37.5,0,6.015131
"Amasya","Amasya",6.5,36.2,41.75,1.6028,1.779874,4.8051,36.2,36.2,0,4.898302
"Amasya","Amasya",8,35.25,39.85,10.561,11.72776,6.659,35.25,35.25,0,6.772995
"Amasya","Amasya",8,35.7,40.25,18.067,20.06301,7.2556,35.7,35.7,0,7.375546
"Amasya","Amasya",6.5,34.4,40.3,1.5853,1.760441,4.7954,34.4,34.4,0,4.888485
"Amasya","Amasya",6.5,36.1,41.55,1.9771,2.195526,4.9929,36.1,36.1,.01,5.088416
"Amasya","Amasya",7.5,35.85,41.5,7.0595,7.83942,6.2314,35.85,35.85,.01,6.340953
"Amasya","Amasya",8,36.25,39.85,11.011,12.22747,6.7042,36.25,36.25,0,6.818731
"Amasya","Amasya",7,37.05,41.35,3.0938,3.435597,5.4091,37.05,37.05,.01,5.509568
"Amasya","Amasya",7.5,35.5,39.6,5.8309,6.475087,6.0344,35.5,35.5,0,6.141865
"Amasya","Amasya",6,36.45,39.9,.98061,1.088946,4.3837,36.45,36.45,0,4.471436
"Amasya","Amasya",8,35.55,40.15,15.004,16.66161,7.0457,35.55,35.55,.01,7.163623
"Amasya","Amasya",8,35.9,41.15,15.877,17.63106,7.1092,35.9,35.9,0,7.227754
"Amasya","Amasya",8,34.9,41.75,8.3095,9.227517,6.4024,34.9,34.9,0,6.513752
"Amasya","Amasya",7,34.9,41.75,2.7701,3.076136,5.3044,34.9,34.9,0,5.403652
"Amasya","Amasya",6,35.8,41.15,1.8627,2.068488,4.9391,35.8,35.8,.01,5.033952
"Amasya","Amasya",7.5,34.9,41.65,5.2956,5.880648,5.9367,34.9,34.9,0,6.04306
"Amasya","Amasya",6.5,34.9,41.55,1.591,1.766771,4.7986,34.9,34.9,0,4.891694
"Amasya","Amasya",8,34.9,41.5,9.3142,10.34322,6.5238,34.9,34.9,0,6.636406
"Amasya","Amasya",8,34.9,41.45,9.5379,10.59163,6.5492,34.9,34.9,0,6.662082
"Amasya","Amasya",6,34.9,41.45,.79766,.885784,4.2142,34.9,34.9,0,4.299646
"Amasya","Amasya",6.5,36.55,39.9,1.9603,2.17687,4.9852,36.55,36.55,.01,5.080595
"Amasya","Amasya",7,34.9,40.8,4.7159,5.236904,5.8203,34.9,34.9,0,5.925402
